PIB Estadual a preços de mercado  corrente
Sigla;Código;Estado;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;
AC;12;Acre;15,99639309;80,80820123;928,0680459;20105,63289;548356,3313;1237096,725;1459645,547;1555306,521;1694328,657;1866542,316;2154284,485;2475169,496;2868451,828;3304771,14;3940314,681;4482918,968;4834621,202;5760499,894;6730107,014;7386436,282;8476514,711;8794361,637;9629238,676;
AL;27;Alagoas;81,60226627;428,9000432;4630,854661;93464,35972;2386299,951;4656515,994;5369180,034;6214731,155;6676333,165;6935079,503;7768753,702;8488146,132;9812402,332;11209512,88;12890508,99;14139343,77;15748040,09;17793223,18;19476857,52;21234950,63;24574808,01;28540303,89;29544708,36;
AM;13;Amazonas;210,0455169;1015,38191;10138,26866;266842,2454;5878452,277;10069421,18;12495041,42;12572250,22;13198509,85;13933920,08;16749755,08;18050376,83;21791165,27;24977174,81;30313729,31;33352132,25;39156909,68;42023210,12;46822561,04;49614250,55;59779291,83;64555403,73;64119835,58;
AP;16;Amapá;18,59140125;96,91090206;1125,864717;23048,07566;624582,2361;1506572,834;1819439,914;2030049,846;2038322,541;2128307,033;2357035,636;2801925,026;3291534,637;3434107,295;3846125,342;4361254,714;5260017,965;6022130,33;6764832,739;7404389,145;8265964,663;8968031,818;10419539,4;
BA;29;Bahia;518,9828251;2652,432271;28114,11123;611119,1179;14972456,45;26427274,23;32430856,07;36528096,93;37838126;41883129,02;46523212,32;51095879,58;60671852,18;68146936,56;79083213,15;90919322,15;96520719,24;109651822,4;121507036,5;137074670,7;154340457,6;159868615,1;167727375,1;
CE;23;Ceará;187,0200214;1103,797982;11750,97675;256992,4611;6583971,088;13740241,69;17149445,2;18537642,82;19219949,45;20733661,55;22607131,41;24532751,18;28896192,61;32565459,42;36866266,62;40935242;46303066,37;50331373,37;60098867,67;65703760,57;77865414,73;87982450,26;90131724,43;
DF;53;Distrito Federal;186,0507524;1396,036917;12978,01217;272431,2859;6778008,796;31133118,64;38656726,6;43800561,47;47286595,8;48619189,39;46474890,26;51523398,38;56137992,58;63104911,7;70724100,1;80526601,09;89628570,41;99945600,7;117571858,6;131487267,9;149906318,9;164482129;171235534,1;
ES;32;Espírito Santo;191,5141207;998,6262934;10802,93283;232453,8199;6369394,966;14059095,24;16007846,84;17733917,02;18394274,69;19842972,61;23248586,26;24333663,3;26756054,23;31063722,71;40217390,02;47222572,45;52777554,05;60339805,37;69870210,38;66763012,32;82121834,15;97693458,23;107328770,9;
GO;52;Goiás;202,4104274;1135,898599;11199,89492;257273,9551;6810241,493;14461405,84;17722630,22;19825070,24;21120127,89;22191345,55;26249030,74;29914136,3;37416003,07;42836397,75;48020940,26;50534401,23;57057082,63;65210133,89;75271150,64;85615343,89;97575930,34;111268553;123926301,3;
MA;21;Maranhão;92,15262193;490,4672007;5166,841776;109844,6715;2861414,609;6390133,836;8482394,18;9249485,071;9380513,109;10308256,16;11908911,65;13419658,02;15448776,9;18483303,03;21604573,02;25334587,39;28620251,37;31606020,13;38486003,5;39854676,63;45255942,46;52187203,94;58819683;
