ESTOQUE DE DÍVIDA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Valores em R$ 1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DISCRIMINAÇÃO de credores;ANO;AC;AL;AM;AP;BA;CE;DF;ES;GO;MA;MG;MS;MT;PA;PB;PE;PI;PR;RJ;RN;RO;RR;RS;SC;SE;SP;TO;;;;;;;;;;;;;;
DÍVITA TOTAL (Adm. Direta e Indireta);1996;496.167.400,00;1.336.063.226,80;1.339.077.760,60;72.350.000,00;5.051.360.926,00;1.914.695.155,20;914.624.000,00;970.495.656,60;5.339.870.576,02;2.390.082.631,32;13.349.756.562,20;1.883.749.902,20;2.927.347.561,80;1.111.113.086,40;1.757.779.520,60;2.539.669.193,20;1.328.789.163,60;2.714.774.210,60;8.858.624.026,00;553.568.706,80;513.126.727,00;78.600.206,03;9.215.137.103,10;3.746.107.567,80;975.204.018,20;50.922.619.418,00;203.010.099,40;;;;;;;;;;;;;;
1 - DÍVIDA FUNDADA - Adm. Direta;1996;434.596.460,00;1.283.160.226,80;1.288.625.760,60;72.350.000,00;4.821.292.351,20;1.579.798.396,40;726.296.000,00;946.436.656,60;5.291.159.576,02;2.390.082.631,32;12.668.173.610,80;1.782.793.068,20;2.726.449.369,20;890.131.390,00;1.681.208.520,60;1.980.472.059,20;1.108.074.565,80;2.298.261.685,00;8.373.711.660,00;533.379.706,80;467.376.063,00;75.013.649,87;9.077.327.371,10;3.403.695.921,80;706.458.319,40;36.173.823.874,20;187.261.099,40;;;;;;;;;;;;;;
1.1 -   Fundada Interna;1996;434.596.460,00;1.283.160.226,80;1.288.357.760,60;64.090.000,00;4.593.103.351,20;1.334.449.336,40;637.355.000,00;857.308.656,60;5.247.366.576,02;2.375.922.953,16;12.163.699.040,80;1.781.697.268,20;2.726.449.369,20;822.215.890,00;1.680.893.520,60;1.856.797.059,20;1.105.110.565,80;1.881.488.685,00;8.321.092.660,00;533.379.706,80;467.376.063,00;75.013.649,87;8.807.683.832,10;3.172.663.921,80;686.942.319,40;35.879.818.874,20;132.327.099,40;;;;;;;;;;;;;;
1.1.1 - Contratual;1996;434.596.460,00;879.160.226,80;1.288.357.760,60;64.090.000,00;3.855.103.351,20;1.236.449.336,40;637.355.000,00;735.308.656,60;4.546.366.576,02;2.375.922.953,16;3.390.699.040,80;1.509.697.268,20;2.546.776.369,20;822.215.890,00;1.626.893.520,60;1.287.797.059,20;1.105.110.565,80;1.491.488.685,00;2.386.092.660,00;533.379.706,80;467.376.063,00;75.013.649,87;2.264.562.931,10;1.721.663.921,80;490.942.319,40;17.156.818.874,20;132.327.099,40;;;;;;;;;;;;;;
1.1.1.1 - União;1996;434.596.460,00;815.888.226,80;1.288.357.760,60;64.090.000,00;3.807.775.351,20;1.232.792.606,40;489.548.000,00;727.080.656,60;4.545.228.576,02;2.255.692.730,35;2.543.450.840,80;1.324.624.768,20;2.351.183.369,20;817.805.490,00;1.553.995.520,60;1.287.797.059,20;1.105.110.565,80;1.102.640.685,00;1.974.612.660,00;533.379.706,80;359.961.063,00;75.013.649,87;2.254.844.272,10;1.554.335.921,80;490.942.319,40;2.821.053.874,20;132.327.099,40;;;;;;;;;;;;;;
1.1.1.1.1 - BIB;1996;0,00;1.291.974,20;16.456.820,20;0,00;19.417.031,40;6.100.238,60;0,00;0,00;42.009.429,80;16.650.148,60;17.473.200,00;41.576.000,00;21.849.227,40;26.563.945,80;15.731.319,00;5.631.469,20;10.006.303,80;19.258.003,20;0,00;3.935.168,40;2.980.999,20;0,00;0,00;5.649.139,00;660.019,00;21.470.885,80;0,00;;;;;;;;;;;;;;
1.1.1.1.2 - BEA;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.746.192,00;0,00;0,00;23.526.900,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.662.845,60;0,00;0,00;0,00;9.884.143,74;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.3 - Clube de Paris;1996;0,00;0,00;0,00;0,00;1.231.000,00;0,00;0,00;2.894.729,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.434.707,93;5.245.851,80;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.4 - DMLP;1996;0,00;18.937.868,00;193.075.825,80;0,00;230.744.721,20;59.062.865,60;0,00;95.684.045,80;335.990.207,60;240.347.737,80;371.464.929,60;203.719.281,80;245.853.439,60;114.367.260,80;158.964.796,60;75.517.607,00;93.349.553,40;155.181.380,60;48.502.561,60;32.213.084,80;20.667.429,60;0,00;112.747.732,99;40.634.303,60;9.396.176,00;264.759.086,20;0,00;;;;;;;;;;;;;;
1.1.1.1.5 - Lei 7.976/89;1996;9.192.450,00;75.768.102,40;0,00;0,00;402.789.327,40;638.831.870,40;0,00;74.720.387,20;496.451.740,20;273.512.913,00;152.763.736,20;258.008.183,20;287.128.013,60;18.582.393,20;137.282.912,60;181.252.650,80;92.592.870,20;56.815.682,80;548.351.061,00;75.963.509,60;3.064.151,20;0,00;373.585.020,80;571.368.574,00;14.304.222,80;151.422.910,20;0,00;;;;;;;;;;;;;;
1.1.1.1.6 - Parc.  FGTS até 31/03/96;1996;76.143.000,00;0,00;2.335.000,00;0,00;63.203.000,00;0,00;0,00;0,00;414.818.486,42;35.507.193,95;0,00;0,00;30.368.000,00;8.499.000,00;0,00;69.666.000,00;13.000.000,00;0,00;0,00;4.416.989,00;43.736.000,00;0,00;0,00;0,00;0,00;64.968.000,00;27.600.000,00;;;;;;;;;;;;;;
1.1.1.1.7 - Parc.  FGTS após 31/03/96;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.8 - Parc.  INSS até 01/12/92;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.9 - Parc.  INSS após 01/12/92;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.10 - Lei 8.727/93;1996;318.495.030,00;442.818.700,20;1.076.204.114,60;0,00;2.835.174.498,20;388.160.811,80;0,00;221.734.162,60;2.950.025.080,00;1.610.139.737,00;1.264.657.728,60;699.851.926,20;1.496.859.688,60;444.408.982,20;1.067.719.492,40;696.723.332,20;733.708.302,40;356.551.618,40;584.477.486,80;395.242.244,00;181.889.803,00;53.455.302,60;1.355.509.080,98;438.082.154,40;306.746.688,60;2.228.140.992,00;83.049.099,40;;;;;;;;;;;;;;
1.1.1.1.10.1 - Lei 8.727/93 GOVERNO IGPM;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
