Anos;UF;Dívida;PIB;D/P
1996;AC;496167400.0;1459645.5469999998;339.92321013808436
1997;AC;518193236.05;1555306.521;333.1775627847445
1998;AC;545164412.53;1694328.657;321.75836150660115
1999;AC;791895413.3;1866542.3159999999;424.25794824573376
2000;AC;715259628.7;2154284.485;332.0172584819967
2001;AC;690905000.0;2475169.496;279.13441932624727
2002;AC;744695927.42;2868451.828;259.61597826073023
2003;AC;738481131.05;3304771.14;223.45908378091195
2004;AC;789910982.0;3940314.6810000003;200.46900969836523
2005;AC;886464759.86;4482918.968;197.74275782983548
2006;AC;966053205.98;4834621.202;199.81983398830926
2007;AC;944844473.59;5760499.893999999;164.02126394865968
2008;AC;993359864.63;6730107.0139999995;147.59941596227344
2009;AC;1333884474.97;7386436.282000001;180.58566053301533
2010;AC;1722085974.31;8476514.711000001;203.1596750578682
2011;AC;1858784574.19;8794361.637;211.36094362661242
2012;AC;2636362085.86;9629238.676;273.78717825645884
2013;AC;3019822750.29;10644679.11639128;283.6931688847159
2014;AC;3531637172.62;11928331.9586023;296.071335445448
2015;AC;4035152090.16;13384880.075512554;301.47091848377875
2016;AC;3658661234.55;15222486.842243372;240.34582998600348
1996;AL;1336063226.8;5369180.034;248.8393420111567
1997;AL;1915425521.96;6214731.155;308.20730200355706
1998;AL;2503891740.97;6676333.165;375.0399626693884
1999;AL;3151235387.49;6935079.503;454.39066504238747
2000;AL;3073980980.23;7768753.7020000005;395.6852151766157
2001;AL;3363685582.82;8488146.132000001;396.28035739618434
2002;AL;4449587723.84;9812402.332;453.46568284599357
2003;AL;4882396660.0;11209512.88;435.5583255282365
2004;AL;5362488322.4;12890508.99;416.0028379453463
2005;AL;5645043313.68;14139343.77;399.2436569550922
2006;AL;6046135674.69;15748040.09;383.92940582677926
2007;AL;6206365569.76;17793223.18;348.80502014587785
2008;AL;6943804519.64;19476857.52;356.5156500482528
2009;AL;6834760776.26;21234950.63;321.86374695894455
2010;AL;7525268612.83;24574808.01;306.21881602362106
