Data;Valor;Descrição
18/04/2019;7.364,57;Decrição produto 9443
05/06/2018;5.687,55;Decrição produto 9002
17/02/2019;35.858,89;Decrição produto 1868
27/03/2019;14.271,99;Decrição produto 8551
09/07/2018;11.396,44;Decrição produto 3531
12/11/2018;91.614,76;Decrição produto 6216
11/09/2018;76.641,6;Decrição produto 1759
22/04/2019;45.697,33;Decrição produto 6361
30/08/2018;80.444,52;Decrição produto 2863
21/08/2019;88.163,24;Decrição produto 1841
06/08/2019;22.911,25;Decrição produto 6078
08/06/2019;8.474,14;Decrição produto 5506
24/05/2018;6.243,83;Decrição produto 9785
09/06/2018;80.449,45;Decrição produto 5287
31/01/2019;71.183,18;Decrição produto 5684
26/05/2019;86.526,8;Decrição produto 4817
19/05/2019;78.109,16;Decrição produto 8725
19/07/2019;70.752,53;Decrição produto 7054
02/02/2019;80.573,54;Decrição produto 4831
10/09/2018;95.924,24;Decrição produto 7337
01/06/2018;21.775,7;Decrição produto 5262
04/04/2019;1.707,80;Decrição produto 2280
22/05/2019;50.221,51;Decrição produto 0420
08/02/2019;98.720,59;Decrição produto 0528
19/11/2018;72.181,14;Decrição produto 9728
27/07/2019;41.561,81;Decrição produto 0421
09/08/2018;33.140,39;Decrição produto 0728
30/01/2019;83.809,79;Decrição produto 2329
17/08/2018;24.529,43;Decrição produto 8111
10/05/2018;9.106,59;Decrição produto 7203
05/08/2018;80.827,19;Decrição produto 1141
21/12/2018;85.640,75;Decrição produto 9500
10/09/2018;33.352,10;Decrição produto 9557
24/05/2019;30.758,84;Decrição produto 8159
28/11/2018;0.175,88;Decrição produto 9625
28/05/2018;17.153,37;Decrição produto 7099
19/06/2019;0.324,5;Decrição produto 8500
06/09/2018;34.703,52;Decrição produto 1090
01/06/2019;59.357,76;Decrição produto 1522
19/09/2018;30.723,44;Decrição produto 8972
29/05/2019;16.829,65;Decrição produto 3371
22/01/2019;13.581,3;Decrição produto 8936
21/04/2019;39.652,72;Decrição produto 0464
21/09/2018;40.785,91;Decrição produto 9368
19/05/2019;73.625,71;Decrição produto 5564
09/01/2019;58.441,27;Decrição produto 0858
24/08/2019;81.501,35;Decrição produto 2297
22/08/2019;14.992,53;Decrição produto 8224
31/05/2019;97.507,96;Decrição produto 4929
01/01/2019;77.556,62;Decrição produto 1937
16/07/2019;54.641,99;Decrição produto 3287
30/08/2019;48.771,86;Decrição produto 6391
21/07/2018;95.601,62;Decrição produto 9723
04/07/2019;42.491,8;Decrição produto 4582
13/09/2018;76.218,96;Decrição produto 7059
30/08/2018;26.775,79;Decrição produto 6919
07/02/2019;93.108,21;Decrição produto 1914
22/08/2018;47.613,52;Decrição produto 1306
18/02/2019;66.731,31;Decrição produto 8283
11/03/2019;77.743,43;Decrição produto 7975
29/07/2019;20.377,80;Decrição produto 1532
04/09/2018;51.257,41;Decrição produto 7754
15/06/2018;2.580,30;Decrição produto 6247
05/08/2018;39.578,15;Decrição produto 9216
30/05/2019;60.963,7;Decrição produto 2709
01/08/2019;43.349,20;Decrição produto 7745
08/06/2019;13.756,19;Decrição produto 7007
25/04/2019;82.412,16;Decrição produto 1493
